annual_income,existing_debt,credit_utilization_pct,employment_years,requested_loan_amount,risk_score
142703.0,38200.0,56.6,21.4,72381.0,9.1
87415.0,60915.0,55.1,21.8,95488.0,75.5
156669.0,72266.0,82.9,4.7,90863.0,54.2
130066.0,57656.0,71.1,24.3,107320.0,42.4
30539.0,77057.0,2.7,23.6,97081.0,100.0
175978.0,62560.0,4.9,23.9,31178.0,0.0
140588.0,69344.0,60.2,2.6,67594.0,57.9
144701.0,9128.0,48.6,15.6,37095.0,0.0
36139.0,58593.0,26.0,14.3,40915.0,99.3
89314.0,35207.0,41.9,3.0,111969.0,71.1
76182.0,44248.0,75.8,7.8,82464.0,84.9
167916.0,52328.0,82.7,15.4,117002.0,31.6
121238.0,77585.0,56.1,26.0,51196.0,52.6
150756.0,78766.0,38.5,8.3,65418.0,56.1
88163.0,23058.0,27.1,29.0,59480.0,8.5
52494.0,58700.0,52.2,19.1,14660.0,78.9
106506.0,59999.0,31.5,26.6,29931.0,32.1
25530.0,27719.0,56.4,16.5,64261.0,79.1
151559.0,9910.0,67.7,17.5,9950.0,0.0
119225.0,3276.0,6.6,21.7,111913.0,0.0
140084.0,62187.0,0.1,32.5,16614.0,0.0
73497.0,39176.0,21.2,17.2,25362.0,26.2
175165.0,78843.0,89.5,18.5,92308.0,41.9
162365.0,37198.0,64.6,21.1,13438.0,0.0
143433.0,78233.0,17.2,25.8,108233.0,43.9
47115.0,32926.0,89.0,2.5,87633.0,100.0
92009.0,63495.0,47.0,18.0,10097.0,57.4
22228.0,6786.0,47.6,16.9,83638.0,61.6
40458.0,44437.0,93.6,32.3,76532.0,89.6
127703.0,64165.0,5.9,17.3,91367.0,40.9
137886.0,73976.0,21.5,16.4,99727.0,48.8
174639.0,65807.0,58.6,33.7,86765.0,3.6
68761.0,2958.0,19.5,15.8,71169.0,9.1
76126.0,29816.0,68.0,6.3,40051.0,60.2
92477.0,3896.0,21.4,7.6,84278.0,10.2
46263.0,8743.0,9.9,3.3,114923.0,72.8
36437.0,54024.0,20.7,0.0,71328.0,100.0
93491.0,57061.0,42.3,15.1,80393.0,71.8
52440.0,61898.0,17.6,26.9,53581.0,73.3
125519.0,69237.0,13.5,25.7,91222.0,39.9
87130.0,59155.0,86.0,1.1,119725.0,100.0
152392.0,64070.0,32.0,19.9,20926.0,2.3
130544.0,3917.0,36.1,5.4,25884.0,0.0
66540.0,18763.0,5.5,32.9,65654.0,6.1
152323.0,49752.0,35.7,5.9,58802.0,15.5
147786.0,68650.0,26.5,21.9,69445.0,20.9
78934.0,360.0,61.0,11.4,7791.0,10.1
62574.0,41170.0,20.5,22.5,49705.0,47.2
127612.0,54183.0,88.8,14.4,70791.0,57.4
38059.0,2369.0,93.0,26.6,71053.0,48.6
47985.0,32108.0,10.0,8.1,79565.0,72.5
16215.0,71651.0,10.7,31.7,86985.0,100.0
144843.0,53729.0,11.5,17.5,77703.0,10.3
124700.0,19013.0,62.0,26.5,95249.0,2.3
131352.0,68222.0,12.2,29.7,75722.0,30.6
143820.0,27843.0,85.2,35.0,65426.0,0.0
90721.0,68268.0,75.4,7.8,73531.0,100.0
108842.0,23915.0,82.0,10.0,13941.0,17.4
38067.0,47226.0,52.6,8.8,34232.0,99.0
33897.0,31755.0,99.7,9.2,64233.0,100.0
125286.0,21986.0,4.4,20.4,105012.0,5.5
92731.0,70925.0,40.1,34.8,82128.0,59.8
108264.0,15007.0,32.4,34.7,12668.0,0.0
141225.0,6785.0,94.9,18.4,71888.0,0.0
119729.0,27354.0,57.7,22.4,28165.0,3.3
106341.0,57411.0,80.6,30.1,88614.0,60.4
107269.0,64595.0,17.0,32.7,99638.0,43.6
65152.0,79899.0,97.9,7.1,72028.0,100.0
20085.0,23709.0,49.9,18.5,71781.0,84.5
87058.0,32635.0,49.4,29.1,41954.0,27.0
50406.0,10946.0,97.1,10.6,54658.0,56.6
82407.0,45990.0,38.1,15.4,103965.0,69.4
155812.0,79806.0,39.8,34.5,87352.0,24.4
53600.0,56070.0,58.5,34.5,63331.0,66.5
24620.0,47617.0,12.8,31.7,45451.0,73.3
61428.0,31390.0,32.1,27.9,7945.0,19.7
63443.0,73224.0,19.3,9.4,18875.0,88.4
124216.0,39753.0,10.3,11.2,24777.0,9.7
